Task_name,Input_data_size,Duration(s),maxExecutor,hibench.als.ratings
als_new_001,978000760,101.669,3,20000000
als_new_002,12225000760,530.581,17,250000000
als_new_003,978000760,80.987,4,20000000
als_new_004,4156500760,147.385,16,85000000
als_new_005,4890000760,150.08,18,100000000
als_new_006,4890000760,213.038,19,100000000
als_new_007,12225000760,409.654,50,250000000
als_new_008,1711500760,153.901,3,35000000
als_new_009,12225000760,335.486,49,250000000
als_new_010,2811750760,167.081,11,57500000
als_new_011,2567250760,112.995,11,52500000
als_new_012,2689500760,90.581,10,55000000
als_new_013,2689500760,134.072,11,55000000
als_new_014,3056250760,96.738,24,62500000
als_new_015,2078250760,193.022,3,42500000
als_new_016,1711500760,204.337,3,35000000
als_new_017,3056250760,91.156,10,62500000
als_new_018,2200500760,93.88,23,45000000
als_new_019,1956000760,101.073,10,40000000
als_new_020,2934000760,123.509,11,60000000
als_new_021,2445000760,108.854,11,50000000
als_new_022,1589250760,92.422,10,32500000
als_new_023,2322750760,121.305,11,47500000
als_new_024,4034250760,150.563,24,82500000
als_new_025,1956000760,191.976,3,40000000
als_new_026,611250760,75.078,3,12500000
als_new_027,2567250760,112.982,10,52500000
als_new_028,3300750760,101.749,23,67500000
als_new_029,1467000760,77.593,10,30000000
als_new_030,1956000760,105.535,11,40000000
als_new_031,7335000760,159.98,70,150000000
als_new_032,2445000760,99.228,23,50000000
als_new_033,3789750760,125.278,21,77500000
als_new_034,5012250760,140.277,27,102500000
als_new_035,2322750760,96.573,8,47500000
als_new_036,2322750760,383.143,15,47500000
als_new_037,4034250760,591.665,20,82500000
als_new_038,1344750760,230.693,4,27500000
als_new_039,2078250760,615.421,15,42500000
als_new_040,2200500760,93.113,19,45000000
als_new_041,2322750760,85.058,64,47500000
als_new_042,1956000760,78.366,14,40000000
als_new_043,3667500760,113.447,22,75000000
als_new_044,2200500760,102.942,9,45000000
als_new_045,2811750760,125.452,9,57500000
als_new_046,3789750760,110.406,29,77500000
als_new_047,4767750760,150.915,25,97500000
als_new_048,3912000760,114.19,29,80000000
als_new_049,2689500760,170.22,7,55000000
als_new_050,1344750760,117.949,3,27500000
als_new_051,9902250760,253.306,78,202500000
als_new_052,4156500760,125.883,21,85000000
als_new_053,2567250760,105.598,15,52500000
als_new_054,3300750760,119.517,19,67500000
als_new_055,1956000760,140.087,6,40000000
als_new_056,2934000760,119.797,19,60000000
als_new_057,2200500760,81.458,28,45000000
als_new_058,2078250760,161.34,4,42500000
als_new_059,2445000760,116.081,13,50000000
als_new_060,3423000760,139.316,18,70000000
als_new_061,8802000760,187.502,60,180000000
als_new_062,6601500760,149.981,50,135000000
als_new_063,6112500760,175.37,57,125000000
als_new_064,5256750760,125.335,66,107500000
als_new_065,7457250760,179.028,57,152500000
als_new_066,3912000760,134.399,42,80000000
als_new_067,2078250760,92.507,36,42500000
als_new_068,6234750760,240.414,36,127500000
als_new_069,3667500760,149.306,10,75000000
als_new_070,1956000760,111.021,16,40000000
als_new_071,2445000760,154.19,6,50000000
als_new_072,1956000760,88.839,24,40000000
als_new_073,4523250760,160.663,24,92500000
als_new_074,2322750760,102.242,32,47500000
als_new_075,9657750760,235.036,72,197500000
als_new_076,1956000760,100.785,60,40000000
als_new_077,5501250760,133.803,33,112500000
als_new_078,2811750760,89.286,24,57500000
als_new_079,4156500760,134.167,24,85000000
als_new_080,2567250760,123.14,9,52500000
als_new_081,5745750760,135.514,80,117500000
als_new_082,6357000760,141.972,40,130000000
als_new_083,7701750760,175.082,48,157500000
als_new_084,2322750760,91.823,20,47500000
als_new_085,4523250760,144.326,72,92500000
als_new_086,4890000760,168.999,48,100000000
als_new_087,6968250760,164.428,52,142500000
als_new_088,5990250760,169.364,42,122500000
als_new_089,3056250760,121.189,18,62500000
als_new_090,3300750760,110.761,16,67500000
als_new_091,4767750760,143.887,33,97500000
als_new_092,4401000760,117.419,48,90000000
als_new_093,3178500760,96.197,52,65000000
als_new_094,7090500760,224.418,54,145000000
als_new_095,2811750760,104.59,12,57500000
als_new_096,6234750760,154.982,45,127500000
als_new_097,5379000760,137.229,40,110000000
als_new_098,3545250760,98.878,42,72500000
als_new_099,2078250760,85.306,12,42500000
als_new_100,3423000760,114.28,35,70000000
als_new_101,12225000760,294.839,200,250000000
als_new_102,12225000760,354.782,200,250000000
als_new_103,12225000760,323.785,1000,250000000
als_new_104,12225000760,396.552,1000,250000000
als_new_105,12225000760,403.403,1000,250000000
als_new_106,12225000760,532.464,20,250000000
als_new_107,12225000760,414.16,20,250000000
als_new_108,12225000760,1314.465,20,250000000
als_new_109,978000760,92.23,20,20000000
als_new_110,1956000760,108.083,20,40000000
als_new_111,2934000760,139.552,20,60000000
als_new_112,3912000760,149.184,20,80000000
als_new_113,4890000760,199.471,20,100000000
als_new_114,5868000760,198.035,20,120000000
als_new_115,6846000760,317.704,20,140000000
als_new_116,7824000760,298.733,20,160000000
als_new_117,8802000760,343.814,20,180000000
als_new_118,9780000760,300.915,20,200000000
als_new_119,10758000760,489.858,20,220000000
als_new_120,11736000760,670.908,20,240000000
als_new_121,12225000760,1365.293,5,250000000
als_new_122,12225000760,910.22,10,250000000
als_new_123,12225000760,913.036,15,250000000
als_new_124,12225000760,909.702,20,250000000
als_new_125,12225000760,738.102,25,250000000
als_new_126,12225000760,561.912,30,250000000
als_new_127,12225000760,621.465,35,250000000
als_new_128,12225000760,473.551,40,250000000
als_new_129,12225000760,476.338,45,250000000
als_new_130,12225000760,509.213,50,250000000
als_new_001,978000760,119.347,3,20000000
als_new_002,12225000760,368.984,17,250000000
als_new_003,978000760,98.342,4,20000000
als_new_004,4156500760,150.943,16,85000000
als_new_005,4890000760,154.479,18,100000000
als_new_006,4890000760,172.826,19,100000000
als_new_007,12225000760,374.845,50,250000000
als_new_008,1711500760,167.048,3,35000000
als_new_009,12225000760,354.981,49,250000000
als_new_010,2811750760,171.216,11,57500000
als_new_011,2567250760,137.85,11,52500000
als_new_012,2689500760,127.947,10,55000000
als_new_013,2689500760,127.224,11,55000000
als_new_014,3056250760,139.404,24,62500000
als_new_015,2078250760,173.061,3,42500000
als_new_016,1711500760,169.957,3,35000000
als_new_017,3056250760,142.742,10,62500000
als_new_018,2200500760,97.62,23,45000000
als_new_019,1956000760,97.709,10,40000000
als_new_020,2934000760,100.49,11,60000000
als_new_021,2445000760,92.086,11,50000000
als_new_022,1589250760,86.762,10,32500000
als_new_023,2322750760,91.565,11,47500000
als_new_024,4034250760,153.16,24,82500000
als_new_025,1956000760,187.747,3,40000000
als_new_026,611250760,76.001,3,12500000
als_new_027,2567250760,96.777,10,52500000
als_new_028,3300750760,112.821,23,67500000
als_new_029,1467000760,113.087,10,30000000
als_new_030,1956000760,106.848,11,40000000
als_new_031,7335000760,182.846,70,150000000
als_new_032,2445000760,100.516,23,50000000
als_new_033,3789750760,131.317,21,77500000
als_new_034,5012250760,174.602,27,102500000
als_new_035,2322750760,89.946,8,47500000
als_new_036,2322750760,95.124,15,47500000
als_new_037,4034250760,169.325,20,82500000
als_new_038,1344750760,141.269,4,27500000
als_new_039,2078250760,124.796,15,42500000
als_new_040,2200500760,89.953,19,45000000
als_new_041,2322750760,108.33,64,47500000
als_new_042,1956000760,110.329,14,40000000
als_new_043,3667500760,146.22,22,75000000
als_new_044,2200500760,127.947,9,45000000
als_new_045,2811750760,149.951,9,57500000
als_new_046,3789750760,135.575,29,77500000
als_new_047,4767750760,159.267,25,97500000
als_new_048,3912000760,143.638,29,80000000
als_new_049,2689500760,190.107,7,55000000
als_new_050,1344750760,165.073,3,27500000
als_new_051,9902250760,288.512,78,202500000
als_new_052,4156500760,204.188,21,85000000
als_new_053,2567250760,124.488,15,52500000
als_new_054,3300750760,112.094,19,67500000
als_new_055,1956000760,116.834,6,40000000
als_new_056,2934000760,116.323,19,60000000
als_new_057,2200500760,100.184,28,45000000
als_new_058,2078250760,174.977,4,42500000
als_new_059,2445000760,144.189,13,50000000
als_new_060,3423000760,136.467,18,70000000
als_new_061,8802000760,243.383,60,180000000
als_new_062,6601500760,181.93,50,135000000
als_new_063,6112500760,137.086,57,125000000
als_new_064,5256750760,162.396,66,107500000
als_new_065,7457250760,303.436,57,152500000
als_new_066,3912000760,151.872,42,80000000
als_new_067,2078250760,137.419,36,42500000
als_new_068,6234750760,167.243,36,127500000
als_new_069,3667500760,150.83,10,75000000
als_new_070,1956000760,111.744,16,40000000
als_new_071,2445000760,134.247,6,50000000
als_new_072,1956000760,100.725,24,40000000
als_new_073,4523250760,155.602,24,92500000
als_new_074,2322750760,99.886,32,47500000
als_new_075,9657750760,216.274,72,197500000
als_new_076,1956000760,87.184,60,40000000
als_new_077,5501250760,152.304,33,112500000
als_new_078,2811750760,113.5,24,57500000
als_new_079,4156500760,146.251,24,85000000
als_new_080,2567250760,114.862,9,52500000
als_new_081,5745750760,157.112,80,117500000
als_new_082,6357000760,186.033,40,130000000
als_new_083,7701750760,254.004,48,157500000
als_new_084,2322750760,110.735,20,47500000
als_new_085,4523250760,132.666,72,92500000
als_new_086,4890000760,122.746,48,100000000
als_new_087,6968250760,175.378,52,142500000
als_new_088,5990250760,280.597,42,122500000
als_new_089,3056250760,119.857,18,62500000
als_new_090,3300750760,163.597,16,67500000
als_new_091,4767750760,153.959,33,97500000
als_new_092,4401000760,153.924,48,90000000
als_new_093,3178500760,162.056,52,65000000
als_new_094,7090500760,191.773,54,145000000
als_new_095,2811750760,140.151,12,57500000
als_new_096,6234750760,175.945,45,127500000
als_new_097,5379000760,170.601,40,110000000
als_new_098,3545250760,112.391,42,72500000
als_new_099,2078250760,119.0,12,42500000
als_new_100,3423000760,177.969,35,70000000
als_new_101,12225000760,335.529,200,250000000
als_new_102,12225000760,506.09,200,250000000
als_new_103,12225000760,355.926,1000,250000000
als_new_104,12225000760,400.764,1000,250000000
als_new_105,12225000760,437.413,1000,250000000
als_new_106,12225000760,473.045,20,250000000
als_new_107,12225000760,467.197,20,250000000
als_new_108,12225000760,1280.843,20,250000000
als_new_109,978000760,78.242,20,20000000
als_new_110,1956000760,79.888,20,40000000
als_new_111,2934000760,94.219,20,60000000
als_new_112,3912000760,315.731,20,80000000
als_new_113,4890000760,156.451,20,100000000
als_new_114,5868000760,238.988,20,120000000
als_new_115,6846000760,208.804,20,140000000
als_new_116,7824000760,216.213,20,160000000
als_new_117,8802000760,231.657,20,180000000
als_new_118,9780000760,264.29,20,200000000
als_new_119,10758000760,318.361,20,220000000
als_new_120,11736000760,350.465,20,240000000
als_new_121,12225000760,639.295,5,250000000
als_new_122,12225000760,535.956,10,250000000
als_new_123,12225000760,605.076,15,250000000
als_new_124,12225000760,475.277,20,250000000
als_new_125,12225000760,366.503,25,250000000
als_new_126,12225000760,355.744,30,250000000
als_new_127,12225000760,415.536,35,250000000
als_new_128,12225000760,297.374,40,250000000
als_new_129,12225000760,345.174,45,250000000
als_new_130,12225000760,405.23,50,250000000
als_new_001,978000760,99.709,3,20000000
als_new_002,12225000760,344.005,17,250000000
als_new_003,978000760,105.82,4,20000000
als_new_004,4156500760,138.142,16,85000000
als_new_005,4890000760,152.05,18,100000000
als_new_006,4890000760,162.287,19,100000000
als_new_007,12225000760,447.866,50,250000000
als_new_008,1711500760,173.255,3,35000000
als_new_009,12225000760,298.532,49,250000000
als_new_010,2811750760,120.916,11,57500000
als_new_011,2567250760,110.634,11,52500000
als_new_012,2689500760,94.101,10,55000000
als_new_013,2689500760,112.033,11,55000000
als_new_014,3056250760,111.178,24,62500000
als_new_015,2078250760,149.388,3,42500000
als_new_016,1711500760,152.44,3,35000000
als_new_017,3056250760,187.756,10,62500000
als_new_018,2200500760,88.849,23,45000000
als_new_019,1956000760,83.681,10,40000000
als_new_020,2934000760,126.182,11,60000000
als_new_021,2445000760,120.786,11,50000000
als_new_022,1589250760,75.676,10,32500000
als_new_023,2322750760,84.833,11,47500000
als_new_024,4034250760,127.102,24,82500000
als_new_025,1956000760,167.388,3,40000000
als_new_026,611250760,75.246,3,12500000
als_new_027,2567250760,110.787,10,52500000
als_new_028,3300750760,106.673,23,67500000
als_new_029,1467000760,89.033,10,30000000
als_new_030,1956000760,77.849,11,40000000
als_new_031,7335000760,190.703,70,150000000
als_new_032,2445000760,100.253,23,50000000
als_new_033,3789750760,132.894,21,77500000
als_new_034,5012250760,189.842,27,102500000
als_new_035,2322750760,124.111,8,47500000
als_new_036,2322750760,97.971,15,47500000
als_new_037,4034250760,131.876,20,82500000
als_new_038,1344750760,125.486,4,27500000
als_new_039,2078250760,792.042,15,42500000
als_new_040,2200500760,98.483,19,45000000
als_new_041,2322750760,119.403,64,47500000
als_new_042,1956000760,97.33,14,40000000
als_new_043,3667500760,118.406,22,75000000
als_new_044,2200500760,116.089,9,45000000
als_new_045,2811750760,112.713,9,57500000
als_new_046,3789750760,117.316,29,77500000
als_new_047,4767750760,113.366,25,97500000
als_new_048,3912000760,126.162,29,80000000
als_new_049,2689500760,158.546,7,55000000
als_new_050,1344750760,138.663,3,27500000
als_new_051,9902250760,240.022,78,202500000
als_new_052,4156500760,127.793,21,85000000
als_new_053,2567250760,77.773,15,52500000
als_new_054,3300750760,119.475,19,67500000
als_new_055,1956000760,113.225,6,40000000
als_new_056,2934000760,100.812,19,60000000
als_new_057,2200500760,86.836,28,45000000
als_new_058,2078250760,169.518,4,42500000
als_new_059,2445000760,111.422,13,50000000
als_new_060,3423000760,97.653,18,70000000
als_new_061,8802000760,211.988,60,180000000
als_new_062,6601500760,157.427,50,135000000
als_new_063,6112500760,171.342,57,125000000
als_new_064,5256750760,133.683,66,107500000
als_new_065,7457250760,185.35,57,152500000
als_new_066,3912000760,125.6,42,80000000
als_new_067,2078250760,100.776,36,42500000
als_new_068,6234750760,158.726,36,127500000
als_new_069,3667500760,142.972,10,75000000
als_new_070,1956000760,86.818,16,40000000
als_new_071,2445000760,182.821,6,50000000
als_new_072,1956000760,94.042,24,40000000
als_new_073,4523250760,141.967,24,92500000
als_new_074,2322750760,90.796,32,47500000
als_new_075,9657750760,216.67,72,197500000
als_new_076,1956000760,92.112,60,40000000
als_new_077,5501250760,193.099,33,112500000
als_new_078,2811750760,102.146,24,57500000
als_new_079,4156500760,138.041,24,85000000
als_new_080,2567250760,105.543,9,52500000
als_new_081,5745750760,154.642,80,117500000
als_new_082,6357000760,166.723,40,130000000
als_new_083,7701750760,160.926,48,157500000
als_new_084,2322750760,80.662,20,47500000
als_new_085,4523250760,126.224,72,92500000
als_new_086,4890000760,152.907,48,100000000
als_new_087,6968250760,171.086,52,142500000
als_new_088,5990250760,155.826,42,122500000
als_new_089,3056250760,118.91,18,62500000
als_new_090,3300750760,113.969,16,67500000
als_new_091,4767750760,120.126,33,97500000
als_new_092,4401000760,118.604,48,90000000
als_new_093,3178500760,101.634,52,65000000
als_new_094,7090500760,167.016,54,145000000
als_new_095,2811750760,116.297,12,57500000
als_new_096,6234750760,192.923,45,127500000
als_new_097,5379000760,156.514,40,110000000
als_new_098,3545250760,106.639,42,72500000
als_new_099,2078250760,82.873,12,42500000
als_new_100,3423000760,112.017,35,70000000
als_new_101,12225000760,355.351,200,250000000
als_new_102,12225000760,313.575,200,250000000
als_new_103,12225000760,371.716,1000,250000000
als_new_104,12225000760,368.309,1000,250000000
als_new_105,12225000760,391.793,1000,250000000
als_new_106,12225000760,444.204,20,250000000
als_new_107,12225000760,517.199,20,250000000
als_new_108,12225000760,1265.864,20,250000000
als_new_109,978000760,67.937,20,20000000
als_new_110,1956000760,80.78,20,40000000
als_new_111,2934000760,87.469,20,60000000
als_new_112,3912000760,126.565,20,80000000
als_new_113,4890000760,125.957,20,100000000
als_new_114,5868000760,152.89,20,120000000
als_new_115,6846000760,185.362,20,140000000
als_new_116,7824000760,200.607,20,160000000
als_new_117,8802000760,181.345,20,180000000
als_new_118,9780000760,254.987,20,200000000
als_new_119,10758000760,282.411,20,220000000
als_new_120,11736000760,389.299,20,240000000
als_new_121,12225000760,824.43,5,250000000
als_new_122,12225000760,583.634,10,250000000
als_new_123,12225000760,700.234,15,250000000
als_new_124,12225000760,580.229,20,250000000
als_new_125,12225000760,814.23,25,250000000
als_new_126,12225000760,527.282,30,250000000
als_new_127,12225000760,539.026,35,250000000
als_new_128,12225000760,642.358,40,250000000
als_new_129,12225000760,519.489,45,250000000
als_new_130,12225000760,376.157,50,250000000
