Task_name,Input_data_size,Duration(s),maxExecutor,hibench.lr.examples
lr_1,320048760,146.918,3,800
lr_2,4000602600,573.131,17,10000
lr_3,320048760,150.789,4,800
lr_4,1360206488,216.984,16,3400
lr_5,1600241400,207.909,18,4000
lr_6,1600241400,235.124,19,4000
lr_7,4000602600,223.805,50,10000
lr_8,560086088,275.533,3,1400
lr_9,4000602600,242.598,49,10000
lr_10,920139664,175.045,11,2300
lr_11,840128832,185.622,11,2100
lr_12,880134248,163.95,10,2200
lr_13,880134248,159.925,11,2200
lr_14,1000152912,166.564,24,2500
lr_15,680104752,327.345,3,1700
lr_16,560086088,254.041,3,1400
lr_17,1000152912,185.342,10,2500
lr_18,720110168,204.518,23,1800
lr_19,640096920,137.854,10,1600
lr_20,960145080,185.9,11,2400
lr_21,800121000,155.125,11,2000
lr_22,520080672,129.675,10,1300
lr_23,760115584,166.088,11,1900
lr_24,1320201072,121.46,24,3300
lr_25,640096920,304.02,3,1600
lr_26,200032512,140.072,3,500
lr_27,840128832,173.88,10,2100
lr_28,1080163744,125.644,23,2700
lr_29,480072840,121.881,10,1200
lr_30,640096920,157.541,11,1600
lr_31,2400361800,254.439,70,6000
lr_32,800121000,145.086,23,2000
lr_33,1240187824,143.819,21,3100
lr_34,1640249232,255.338,27,4100
lr_35,760115584,178.101,8,1900
lr_36,760115584,150.413,15,1900
lr_37,1320201072,146.967,20,3300
lr_38,440067424,136.35,4,1100
lr_39,680104752,142.972,15,1700
lr_40,720110168,150.952,19,1800
lr_41,760115584,178.162,64,1900
lr_42,640096920,195.097,14,1600
lr_43,1200182408,154.757,22,3000
lr_44,720110168,149.31,9,1800
lr_45,920139664,226.501,9,2300
lr_46,1240187824,168.915,29,3100
lr_47,1560235984,177.543,25,3900
lr_48,1280193240,138.734,29,3200
lr_49,880134248,266.066,7,2200
lr_50,440067424,201.05,3,1100
lr_51,3240490032,206.508,78,8100
lr_52,1360206488,308.753,21,3400
lr_53,840128832,145.263,15,2100
lr_54,1080163744,184.349,19,2700
lr_55,640096920,238.387,6,1600
lr_56,960145080,123.878,19,2400
lr_57,720110168,178.862,28,1800
lr_58,680104752,357.172,4,1700
lr_59,800121000,164.571,13,2000
lr_60,1120169160,153.753,18,2800
lr_61,2880434040,197.043,60,7200
lr_62,2160326888,175.291,50,5400
lr_63,2000302808,198.864,57,5000
lr_64,1720260064,192.9,66,4300
lr_65,2440369632,160.077,57,6100
lr_66,1280193240,157.586,42,3200
lr_67,680104752,163.16,36,1700
lr_68,2040308224,248.281,36,5100
lr_69,1200182408,212.919,10,3000
lr_70,640096920,179.466,16,1600
lr_71,800121000,278.686,6,2000
lr_72,640096920,145.632,24,1600
lr_73,1480225152,154.774,24,3700
lr_74,760115584,204.14,32,1900
lr_75,3160476784,156.172,72,7900
lr_76,640096920,212.855,60,1600
lr_77,1800273312,265.471,33,4500
lr_78,920139664,157.261,24,2300
lr_79,1360206488,167.527,24,3400
lr_80,840128832,222.95,9,2100
lr_81,1880284144,200.412,80,4700
lr_82,2080313640,170.906,40,5200
lr_83,2520380464,174.005,48,6300
lr_84,760115584,144.244,20,1900
lr_85,1480225152,194.954,72,3700
lr_86,1600241400,183.553,48,4000
lr_87,2280345552,162.202,52,5700
lr_88,1960297392,154.273,42,4900
lr_89,1000152912,139.251,18,2500
lr_90,1080163744,149.869,16,2700
lr_91,1560235984,159.853,33,3900
lr_92,1440217320,193.077,48,3600
lr_93,1040158328,239.685,52,2600
lr_94,2320350968,193.687,54,5800
lr_95,920139664,183.281,12,2300
lr_96,2040308224,215.603,45,5100
lr_97,1760265480,196.695,40,4400
lr_98,1160176992,170.892,42,2900
lr_99,680104752,149.43,12,1700
lr_100,1120169160,145.551,35,2800
lr_101,3600543608,206.976,200,9000
lr_102,6000904808,209.542,200,15000
lr_103,3600543608,210.35,1000,9000
lr_104,6000904808,264.253,1000,15000
lr_105,9601445400,291.056,1000,24000
lr_106,600091504,199.858,20,1500
lr_107,800121000,125.742,20,2000
lr_108,1000152912,133.542,20,2500
lr_109,1200182408,127.301,20,3000
lr_110,1400211904,189.966,20,3500
lr_111,1600241400,152.709,20,4000
lr_112,1800273312,259.442,20,4500
lr_113,2000302808,202.708,20,5000
lr_114,2200332304,272.099,20,5500
lr_115,2400361800,280.737,20,6000
lr_116,200152912,114.152,20,2500
lr_117,400152912,143.222,20,2500
lr_118,600152912,153.023,20,2500
lr_119,800152912,202.062,20,2500
lr_120,1000152912,165.44,20,2500
lr_121,1200152912,202.413,20,2500
lr_122,1400152912,289.539,20,2500
lr_123,1600152912,338.386,20,2500
lr_124,1800152912,280.705,20,2500
lr_125,2000152912,218.169,20,2500
lr_126,1000152912,439.627,5,2500
lr_127,1000152912,204.484,10,2500
lr_128,1000152912,190.37,15,2500
lr_129,1000152912,206.222,20,2500
lr_130,1000152912,159.696,25,2500
lr_131,1000152912,209.35,30,2500
lr_132,1000152912,239.986,35,2500
lr_133,1000152912,198.408,40,2500
lr_134,1000152912,264.542,45,2500
lr_135,1000152912,353.969,50,2500
lr_1,320048760,283.818,3,800
lr_2,4000602600,728.143,17,10000
lr_3,320048760,262.144,4,800
lr_4,1360206488,294.811,16,3400
lr_5,1600241400,279.487,18,4000
lr_6,1600241400,224.229,19,4000
lr_7,4000602600,274.562,50,10000
lr_8,560086088,295.05,3,1400
lr_9,4000602600,250.66,49,10000
lr_10,920139664,272.435,11,2300
lr_11,840128832,251.239,11,2100
lr_12,880134248,189.393,10,2200
lr_13,880134248,212.954,11,2200
lr_14,1000152912,170.831,24,2500
lr_15,680104752,383.637,3,1700
lr_16,560086088,539.687,3,1400
lr_17,1000152912,206.554,10,2500
lr_18,720110168,189.176,23,1800
lr_19,640096920,205.836,10,1600
lr_20,960145080,204.444,11,2400
lr_21,800121000,165.134,11,2000
lr_22,520080672,123.208,10,1300
lr_23,760115584,242.682,11,1900
lr_24,1320201072,144.228,24,3300
lr_25,640096920,371.324,3,1600
lr_26,200032512,145.945,3,500
lr_27,840128832,177.851,10,2100
lr_28,1080163744,219.129,23,2700
lr_29,480072840,171.314,10,1200
lr_30,640096920,208.499,11,1600
lr_31,2400361800,203.475,70,6000
lr_32,800121000,170.095,23,2000
lr_33,1240187824,184.797,21,3100
lr_34,1640249232,139.904,27,4100
lr_35,760115584,190.916,8,1900
lr_36,760115584,183.453,15,1900
lr_37,1320201072,148.673,20,3300
lr_38,440067424,156.013,4,1100
lr_39,680104752,186.47,15,1700
lr_40,720110168,144.187,19,1800
lr_41,760115584,176.558,64,1900
lr_42,640096920,122.994,14,1600
lr_43,1200182408,204.304,22,3000
lr_44,720110168,188.427,9,1800
lr_45,920139664,234.218,9,2300
lr_46,1240187824,211.139,29,3100
lr_47,1560235984,140.919,25,3900
lr_48,1280193240,250.843,29,3200
lr_49,880134248,259.82,7,2200
lr_50,440067424,194.95,3,1100
lr_51,3240490032,211.308,78,8100
lr_52,1360206488,210.915,21,3400
lr_53,840128832,151.347,15,2100
lr_54,1080163744,145.345,19,2700
lr_55,640096920,251.284,6,1600
lr_56,960145080,171.587,19,2400
lr_57,720110168,171.512,28,1800
lr_58,680104752,501.753,4,1700
lr_59,800121000,148.97,13,2000
lr_60,1120169160,158.107,18,2800
lr_61,2880434040,213.322,60,7200
lr_62,2160326888,236.88,50,5400
lr_63,2000302808,187.874,57,5000
lr_64,1720260064,235.184,66,4300
lr_65,2440369632,157.673,57,6100
lr_66,1280193240,133.657,42,3200
lr_67,680104752,176.566,36,1700
lr_68,2040308224,182.185,36,5100
lr_69,1200182408,225.035,10,3000
lr_70,640096920,121.839,16,1600
lr_71,800121000,214.792,6,2000
lr_72,640096920,151.56,24,1600
lr_73,1480225152,158.086,24,3700
lr_74,760115584,136.061,32,1900
lr_75,3160476784,180.92,72,7900
lr_76,640096920,170.368,60,1600
lr_77,1800273312,179.74,33,4500
lr_78,920139664,173.219,24,2300
lr_79,1360206488,161.693,24,3400
lr_80,840128832,219.442,9,2100
lr_81,1880284144,261.138,80,4700
lr_82,2080313640,183.279,40,5200
lr_83,2520380464,168.704,48,6300
lr_84,760115584,141.505,20,1900
lr_85,1480225152,205.154,72,3700
lr_86,1600241400,163.417,48,4000
lr_87,2280345552,166.902,52,5700
lr_88,1960297392,152.6,42,4900
lr_89,1000152912,163.642,18,2500
lr_90,1080163744,209.703,16,2700
lr_91,1560235984,152.086,33,3900
lr_92,1440217320,193.593,48,3600
lr_93,1040158328,224.166,52,2600
lr_94,2320350968,220.002,54,5800
lr_95,920139664,191.523,12,2300
lr_96,2040308224,209.41,45,5100
lr_97,1760265480,219.442,40,4400
lr_98,1160176992,149.577,42,2900
lr_99,680104752,191.814,12,1700
lr_100,1120169160,169.351,35,2800
lr_101,3600543608,207.842,200,9000
lr_102,6000904808,221.348,200,15000
lr_103,3600543608,270.565,1000,9000
lr_104,6000904808,279.841,1000,15000
lr_105,9601445400,495.212,1000,24000
lr_106,600091504,112.238,20,1500
lr_107,800121000,157.058,20,2000
lr_108,1000152912,140.056,20,2500
lr_109,1200182408,170.032,20,3000
lr_110,1400211904,193.727,20,3500
lr_111,1600241400,198.532,20,4000
lr_112,1800273312,224.831,20,4500
lr_113,2000302808,195.866,20,5000
lr_114,2200332304,234.837,20,5500
lr_115,2400361800,272.11,20,6000
lr_116,200152912,100.475,20,2500
lr_117,400152912,209.969,20,2500
lr_118,600152912,153.497,20,2500
lr_119,800152912,147.92,20,2500
lr_120,1000152912,111.172,20,2500
lr_121,1200152912,152.966,20,2500
lr_122,1400152912,190.134,20,2500
lr_123,1600152912,305.165,20,2500
lr_124,1800152912,187.763,20,2500
lr_125,2000152912,291.163,20,2500
lr_126,1000152912,299.834,5,2500
lr_127,1000152912,219.107,10,2500
lr_128,1000152912,174.609,15,2500
lr_129,1000152912,127.838,20,2500
lr_130,1000152912,410.318,25,2500
lr_131,1000152912,139.143,30,2500
lr_132,1000152912,215.973,35,2500
lr_133,1000152912,144.21,40,2500
lr_134,1000152912,160.845,45,2500
lr_135,1000152912,222.367,50,2500
lr_1,320048760,162.902,3,800
lr_2,4000602600,442.797,17,10000
lr_3,320048760,174.24,4,800
lr_4,1360206488,282.357,16,3400
lr_5,1600241400,231.723,18,4000
lr_6,1600241400,208.981,19,4000
lr_7,4000602600,281.356,50,10000
lr_8,560086088,302.734,3,1400
lr_9,4000602600,233.028,49,10000
lr_10,920139664,235.234,11,2300
lr_11,840128832,170.024,11,2100
lr_12,880134248,207.005,10,2200
lr_13,880134248,139.905,11,2200
lr_14,1000152912,145.401,24,2500
lr_15,680104752,326.204,3,1700
lr_16,560086088,282.703,3,1400
lr_17,1000152912,269.855,10,2500
lr_18,720110168,164.14,23,1800
lr_19,640096920,148.447,10,1600
lr_20,960145080,195.689,11,2400
lr_21,800121000,140.935,11,2000
lr_22,520080672,131.42,10,1300
lr_23,760115584,175.125,11,1900
lr_24,1320201072,158.957,24,3300
lr_25,640096920,249.482,3,1600
lr_26,200032512,117.198,3,500
lr_27,840128832,162.34,10,2100
lr_28,1080163744,163.261,23,2700
lr_29,480072840,142.86,10,1200
lr_30,640096920,170.37,11,1600
lr_31,2400361800,157.975,70,6000
lr_32,800121000,138.871,23,2000
lr_33,1240187824,153.387,21,3100
lr_34,1640249232,156.391,27,4100
lr_35,760115584,170.744,8,1900
lr_36,760115584,132.615,15,1900
lr_37,1320201072,171.928,20,3300
lr_38,440067424,156.623,4,1100
lr_39,680104752,118.717,15,1700
lr_40,720110168,140.734,19,1800
lr_41,760115584,154.005,64,1900
lr_42,640096920,130.019,14,1600
lr_43,1200182408,137.081,22,3000
lr_44,720110168,282.596,9,1800
lr_45,920139664,217.274,9,2300
lr_46,1240187824,170.508,29,3100
lr_47,1560235984,124.26,25,3900
lr_48,1280193240,133.724,29,3200
lr_49,880134248,202.06,7,2200
lr_50,440067424,171.144,3,1100
lr_51,3240490032,177.094,78,8100
lr_52,1360206488,404.819,21,3400
lr_53,840128832,148.55,15,2100
lr_54,1080163744,148.221,19,2700
lr_55,640096920,193.285,6,1600
lr_56,960145080,122.697,19,2400
lr_57,720110168,139.632,28,1800
lr_58,680104752,269.708,4,1700
lr_59,800121000,142.941,13,2000
lr_60,1120169160,125.764,18,2800
lr_61,2880434040,238.395,60,7200
lr_62,2160326888,161.974,50,5400
lr_63,2000302808,219.019,57,5000
lr_64,1720260064,166.586,66,4300
lr_65,2440369632,169.29,57,6100
lr_66,1280193240,155.617,42,3200
lr_67,680104752,174.84,36,1700
lr_68,2040308224,200.896,36,5100
lr_69,1200182408,282.241,10,3000
lr_70,640096920,137.875,16,1600
lr_71,800121000,253.307,6,2000
lr_72,640096920,137.207,24,1600
lr_73,1480225152,146.405,24,3700
lr_74,760115584,123.511,32,1900
lr_75,3160476784,168.635,72,7900
lr_76,640096920,170.538,60,1600
lr_77,1800273312,181.364,33,4500
lr_78,920139664,129.342,24,2300
lr_79,1360206488,152.029,24,3400
lr_80,840128832,179.177,9,2100
lr_81,1880284144,185.613,80,4700
lr_82,2080313640,233.192,40,5200
lr_83,2520380464,187.146,48,6300
lr_84,760115584,137.467,20,1900
lr_85,1480225152,177.083,72,3700
lr_86,1600241400,146.892,48,4000
lr_87,2280345552,161.315,52,5700
lr_88,1960297392,131.786,42,4900
lr_89,1000152912,129.731,18,2500
lr_90,1080163744,113.358,16,2700
lr_91,1560235984,149.17,33,3900
lr_92,1440217320,152.893,48,3600
lr_93,1040158328,135.282,52,2600
lr_94,2320350968,189.558,54,5800
lr_95,920139664,134.916,12,2300
lr_96,2040308224,179.174,45,5100
lr_97,1760265480,154.293,40,4400
lr_98,1160176992,153.999,42,2900
lr_99,680104752,120.247,12,1700
lr_100,1120169160,184.969,35,2800
lr_101,3600543608,246.644,200,9000
lr_102,6000904808,190.152,200,15000
lr_103,3600543608,236.263,1000,9000
lr_104,6000904808,269.127,1000,15000
lr_105,9601445400,318.499,1000,24000
lr_106,600091504,129.124,20,1500
lr_107,800121000,121.311,20,2000
lr_108,1000152912,136.115,20,2500
lr_109,1200182408,138.38,20,3000
lr_110,1400211904,162.144,20,3500
lr_111,1600241400,178.354,20,4000
lr_112,1800273312,259.099,20,4500
lr_113,2000302808,239.684,20,5000
lr_114,2200332304,258.035,20,5500
lr_115,2400361800,300.695,20,6000
lr_116,200152912,119.88,20,2500
lr_117,400152912,147.843,20,2500
lr_118,600152912,136.503,20,2500
lr_119,800152912,155.184,20,2500
lr_120,1000152912,132.529,20,2500
lr_121,1200152912,139.727,20,2500
lr_122,1400152912,158.873,20,2500
lr_123,1600152912,191.085,20,2500
lr_124,1800152912,225.415,20,2500
lr_125,2000152912,220.667,20,2500
lr_126,1000152912,332.848,5,2500
lr_127,1000152912,157.781,10,2500
lr_128,1000152912,157.975,15,2500
lr_129,1000152912,114.377,20,2500
lr_130,1000152912,135.96,25,2500
lr_131,1000152912,136.327,30,2500
lr_132,1000152912,153.427,35,2500
lr_133,1000152912,164.437,40,2500
lr_134,1000152912,129.703,45,2500
lr_135,1000152912,152.602,50,2500
lr_1,320048760,175.5,3,800
lr_2,4000602600,411.1,17,10000
lr_3,320048760,134.867,4,800
lr_4,1360206488,196.744,16,3400
lr_5,1600241400,170.86,18,4000
lr_6,1600241400,177.282,19,4000
lr_7,4000602600,179.791,50,10000
lr_8,560086088,223.337,3,1400
lr_9,4000602600,202.704,49,10000
lr_10,920139664,170.342,11,2300
lr_11,840128832,135.76,11,2100
lr_12,880134248,156.955,10,2200
lr_13,880134248,207.297,11,2200
lr_14,1000152912,123.948,24,2500
lr_15,680104752,411.085,3,1700
lr_16,560086088,204.274,3,1400
lr_17,1000152912,163.887,10,2500
lr_18,720110168,128.61,23,1800
lr_19,640096920,121.588,10,1600
lr_20,960145080,177.073,11,2400
lr_21,800121000,141.762,11,2000
lr_22,520080672,109.284,10,1300
lr_23,760115584,126.59,11,1900
lr_24,1320201072,168.984,24,3300
lr_25,640096920,294.111,3,1600
lr_26,200032512,126.121,3,500
lr_27,840128832,155.348,10,2100
lr_28,1080163744,143.27,23,2700
lr_29,480072840,112.953,10,1200
lr_30,640096920,122.571,11,1600
lr_31,2400361800,154.76,70,6000
lr_32,800121000,155.511,23,2000
lr_33,1240187824,158.25,21,3100
lr_34,1640249232,152.279,27,4100
lr_35,760115584,198.518,8,1900
lr_36,760115584,132.125,15,1900
lr_37,1320201072,138.131,20,3300
lr_38,440067424,149.801,4,1100
lr_39,680104752,147.944,15,1700
lr_40,720110168,143.825,19,1800
lr_41,760115584,137.393,64,1900
lr_42,640096920,136.602,14,1600
lr_43,1200182408,145.378,22,3000
lr_44,720110168,181.094,9,1800
lr_45,920139664,205.806,9,2300
lr_46,1240187824,148.01,29,3100
lr_47,1560235984,109.122,25,3900
lr_48,1280193240,135.376,29,3200
lr_49,880134248,216.479,7,2200
lr_50,440067424,236.067,3,1100
lr_51,3240490032,208.063,78,8100
lr_52,1360206488,167.84,21,3400
lr_53,840128832,153.355,15,2100
lr_54,1080163744,143.066,19,2700
lr_55,640096920,214.906,6,1600
lr_56,960145080,146.206,19,2400
lr_57,720110168,145.282,28,1800
lr_58,680104752,290.297,4,1700
lr_59,800121000,158.668,13,2000
lr_60,1120169160,219.906,18,2800
lr_61,2880434040,160.429,60,7200
lr_62,2160326888,170.674,50,5400
lr_63,2000302808,177.696,57,5000
lr_64,1720260064,172.345,66,4300
lr_65,2440369632,191.245,57,6100
lr_66,1280193240,137.479,42,3200
lr_67,680104752,127.812,36,1700
lr_68,2040308224,156.357,36,5100
lr_69,1200182408,221.947,10,3000
lr_70,640096920,119.399,16,1600
lr_71,800121000,274.539,6,2000
lr_72,640096920,152.596,24,1600
lr_73,1480225152,209.367,24,3700
lr_74,760115584,156.252,32,1900
lr_75,3160476784,173.106,72,7900
lr_76,640096920,176.274,60,1600
lr_77,1800273312,232.677,33,4500
lr_78,920139664,180.798,24,2300
lr_79,1360206488,194.004,24,3400
lr_80,840128832,326.72,9,2100
lr_81,1880284144,307.763,80,4700
lr_82,2080313640,209.805,40,5200
lr_83,2520380464,210.476,48,6300
lr_84,760115584,179.944,20,1900
lr_85,1480225152,226.131,72,3700
lr_86,1600241400,238.341,48,4000
lr_87,2280345552,209.181,52,5700
lr_88,1960297392,202.453,42,4900
lr_89,1000152912,196.396,18,2500
lr_90,1080163744,153.881,16,2700
lr_91,1560235984,205.811,33,3900
lr_92,1440217320,222.712,48,3600
lr_93,1040158328,255.769,52,2600
lr_94,2320350968,314.77,54,5800
lr_95,920139664,325.603,12,2300
lr_96,2040308224,290.127,45,5100
lr_97,1760265480,225.082,40,4400
lr_98,1160176992,270.333,42,2900
lr_99,680104752,177.607,12,1700
lr_100,1120169160,212.882,35,2800
lr_101,3600543608,278.623,200,9000
lr_102,6000904808,338.49,200,15000
lr_103,3600543608,300.595,1000,9000
lr_104,6000904808,325.26,1000,15000
lr_105,9601445400,383.891,1000,24000
lr_106,600091504,174.294,20,1500
lr_107,800121000,159.508,20,2000
lr_108,1000152912,156.116,20,2500
lr_109,1200182408,180.928,20,3000
lr_110,1400211904,232.489,20,3500
lr_111,1600241400,258.734,20,4000
lr_112,1800273312,314.112,20,4500
lr_113,2000302808,266.166,20,5000
lr_114,2200332304,300.377,20,5500
lr_115,2400361800,297.512,20,6000
lr_116,200152912,147.741,20,2500
lr_117,400152912,150.995,20,2500
lr_118,600152912,169.707,20,2500
lr_119,800152912,157.007,20,2500
lr_120,1000152912,178.223,20,2500
lr_121,1200152912,157.376,20,2500
lr_122,1400152912,187.753,20,2500
lr_123,1600152912,168.883,20,2500
lr_124,1800152912,197.835,20,2500
lr_125,2000152912,236.031,20,2500
lr_126,1000152912,339.712,5,2500
lr_127,1000152912,249.258,10,2500
lr_128,1000152912,198.919,15,2500
lr_129,1000152912,131.864,20,2500
lr_130,1000152912,160.118,25,2500
lr_131,1000152912,171.003,30,2500
lr_132,1000152912,164.523,35,2500
lr_133,1000152912,142.872,40,2500
lr_134,1000152912,150.304,45,2500
lr_135,1000152912,191.096,50,2500
lr_1,320048760,202.81,3,800
lr_2,4000602600,501.013,17,10000
lr_3,320048760,158.623,4,800
lr_4,1360206488,223.271,16,3400
lr_5,1600241400,199.162,18,4000
lr_6,1600241400,170.05,19,4000
lr_7,4000602600,210.75,50,10000
lr_8,560086088,219.461,3,1400
lr_9,4000602600,211.189,49,10000
lr_10,920139664,186.709,11,2300
lr_11,840128832,189.404,11,2100
lr_12,880134248,167.727,10,2200
lr_13,880134248,167.998,11,2200
lr_14,1000152912,138.563,24,2500
lr_15,680104752,288.455,3,1700
lr_16,560086088,273.93,3,1400
lr_17,1000152912,264.895,10,2500
lr_18,720110168,126.058,23,1800
lr_19,640096920,163.697,10,1600
lr_20,960145080,161.535,11,2400
lr_21,800121000,151.232,11,2000
lr_22,520080672,99.763,10,1300
lr_23,760115584,169.379,11,1900
lr_24,1320201072,161.771,24,3300
lr_25,640096920,353.396,3,1600
lr_26,200032512,124.392,3,500
lr_27,840128832,172.04,10,2100
lr_28,1080163744,135.648,23,2700
lr_29,480072840,169.551,10,1200
lr_30,640096920,146.264,11,1600
lr_31,2400361800,176.116,70,6000
lr_32,800121000,153.19,23,2000
lr_33,1240187824,154.745,21,3100
lr_34,1640249232,150.195,27,4100
lr_35,760115584,175.013,8,1900
lr_36,760115584,132.161,15,1900
lr_37,1320201072,172.895,20,3300
lr_38,440067424,122.593,4,1100
lr_39,680104752,141.617,15,1700
lr_40,720110168,118.624,19,1800
lr_41,760115584,163.162,64,1900
lr_42,640096920,130.06,14,1600
lr_43,1200182408,137.603,22,3000
lr_44,720110168,180.874,9,1800
lr_45,920139664,208.33,9,2300
lr_46,1240187824,195.921,29,3100
lr_47,1560235984,136.222,25,3900
lr_48,1280193240,164.95,29,3200
lr_49,880134248,274.411,7,2200
lr_50,440067424,206.571,3,1100
lr_51,3240490032,161.134,78,8100
lr_52,1360206488,162.851,21,3400
lr_53,840128832,151.805,15,2100
lr_54,1080163744,163.368,19,2700
lr_55,640096920,221.133,6,1600
lr_56,960145080,135.329,19,2400
lr_57,720110168,179.074,28,1800
lr_58,680104752,274.916,4,1700
lr_59,800121000,138.971,13,2000
lr_60,1120169160,221.347,18,2800
lr_61,2880434040,289.521,60,7200
lr_62,2160326888,196.864,50,5400
lr_63,2000302808,209.378,57,5000
lr_64,1720260064,199.024,66,4300
lr_65,2440369632,177.0,57,6100
lr_66,1280193240,202.358,42,3200
lr_67,680104752,137.137,36,1700
lr_68,2040308224,189.319,36,5100
lr_69,1200182408,249.188,10,3000
lr_70,640096920,147.175,16,1600
lr_71,800121000,220.496,6,2000
lr_72,640096920,124.633,24,1600
lr_73,1480225152,162.25,24,3700
lr_74,760115584,165.639,32,1900
lr_75,3160476784,232.744,72,7900
lr_76,640096920,165.91,60,1600
lr_77,1800273312,188.352,33,4500
lr_78,920139664,128.891,24,2300
lr_79,1360206488,143.442,24,3400
lr_80,840128832,182.086,9,2100
lr_81,1880284144,164.868,80,4700
lr_82,2080313640,140.287,40,5200
lr_83,2520380464,235.464,48,6300
lr_84,760115584,169.537,20,1900
lr_85,1480225152,192.082,72,3700
lr_86,1600241400,178.206,48,4000
lr_87,2280345552,176.516,52,5700
lr_88,1960297392,158.492,42,4900
lr_89,1000152912,138.342,18,2500
lr_90,1080163744,112.082,16,2700
lr_91,1560235984,160.148,33,3900
lr_92,1440217320,182.861,48,3600
lr_93,1040158328,191.553,52,2600
lr_94,2320350968,170.94,54,5800
lr_95,920139664,205.697,12,2300
lr_96,2040308224,159.132,45,5100
lr_97,1760265480,158.426,40,4400
lr_98,1160176992,143.776,42,2900
lr_99,680104752,183.289,12,1700
lr_100,1120169160,176.818,35,2800
lr_101,3600543608,436.61,200,9000
lr_102,6000904808,278.048,200,15000
lr_103,3600543608,243.673,1000,9000
lr_104,6000904808,390.734,1000,15000
lr_105,9601445400,338.051,1000,24000
lr_106,600091504,129.41,20,1500
lr_107,800121000,167.097,20,2000
lr_108,1000152912,155.306,20,2500
lr_109,1200182408,219.268,20,3000
lr_110,1400211904,185.862,20,3500
lr_111,1600241400,184.481,20,4000
lr_112,1800273312,242.113,20,4500
lr_113,2000302808,279.864,20,5000
lr_114,2200332304,276.286,20,5500
lr_115,2400361800,230.006,20,6000
lr_116,200152912,148.705,20,2500
lr_117,400152912,123.383,20,2500
lr_118,600152912,216.247,20,2500
lr_119,800152912,219.631,20,2500
lr_120,1000152912,138.529,20,2500
lr_121,1200152912,145.369,20,2500
lr_122,1400152912,165.163,20,2500
lr_123,1600152912,181.459,20,2500
lr_124,1800152912,191.891,20,2500
lr_125,2000152912,202.333,20,2500
lr_126,1000152912,312.054,5,2500
lr_127,1000152912,168.425,10,2500
lr_128,1000152912,145.424,15,2500
lr_129,1000152912,181.538,20,2500
lr_130,1000152912,143.071,25,2500
lr_131,1000152912,142.967,30,2500
lr_132,1000152912,130.127,35,2500
lr_133,1000152912,149.988,40,2500
lr_134,1000152912,151.665,45,2500
lr_135,1000152912,136.573,50,2500
